word,frequency,definition
disagrees,1.0,to fail to agree
announces,1.0,to make known publicly proclaim announce a deal
unpublished,1.0,not publishedsuch as
Tax,1.0,a charge usually of money imposed by authority on persons or property for public purposes
unanimous,4.0,formed with or indicating unanimity having the agreement and consent of all
dissents,1.0,to withhold assent or approval
concurs,1.0,to express agreement
arbitrator,1.0,one that arbitrates a dispute arbiter an impartial arbitrator
nonjudicial,1.0,"not judicial not heard by, ordered by, or otherwise involving a judge"
counteracts,4.0,"to make ineffective or restrain or neutralize the usually ill effects of by means of an opposite force, action, or influence"
juncture,1.0,a point of time
refreshment,1.0,the act of refreshing the state of being refreshed
diametrically,6.0,"of, relating to, or constituting a straight line segment passing through the center of a figure or body located at the diameter (see diameter sense 1)"
antonym,4.0,a word of opposite meaning
additive,9.0,"of, relating to, or characterized by addition an additive process"
elongation,4.0,the angular distance in the sky between a celestial body and another around which it revolves or between a celestial body and a particular point (such as the point where its path intersects the horizon)
disapproving,1.0,to pass unfavorable judgment on
reads,11.0,"to receive or take in the sense of (letters, symbols, etc.) especially by sight or touch"
prescriptions,4.0,the establishment of a claim of title to something under common law usually by use and enjoyment for a period fixed by statute
dispenses,2.0,to divide and share out according to a plan to deal out in portions
ophthalmologist,2.0,"a physician who specializes in ophthalmology — compare optician, optometrist"
optometrist,2.0,"a specialist licensed to practice optometry — compare ophthalmologist, optician"
optionor,2.0,one who grants or sells an option
optionee,2.0,one who is granted or buys an option
incentive,1.0,something that incites or has a tendency to incite to determination or action
dividends,13.0,an individual share of something distributedsuch as
proceeds,8.0,the total amount brought in
premiums,7.0,a reward or recompense for a particular act
disjunction,3.0,"a sharp cleavage disunion, separation the disjunction between theory and practice"
operational,4.0,of or relating to operation or to an operation
globose,2.0,globular sense 1a(1) globose pollen
ovate,2.0,shaped like an egg
fragrant,5.0,having a sweet or pleasant smell
oranges,2.0,a globose berry with a yellowish to reddish-orange rind and a sweet edible pulp
sympathizing,1.0,"to be in keeping, accord, or harmony"
Orangemen,1.0,a member of a secret society organized in the north of Ireland in 1795 to defend the British sovereign and to support the Protestant religion
Santa,1.0,"a plump, white-bearded, red-suited, and jolly old man in modern folklore who delivers presents to children at Christmastime"
Ana,1.0,of each an equal quantity
Drakensberg,1.0,mountain range in Lesotho and the eastern part of the Republic of South Africa
Mountains,2.0,a landmass that projects conspicuously above its surroundings and is higher than a hill
Lesotho,1.0,"mountainous landlocked country in southern Africa surrounded by the Republic of South Africa; a constitutional monarchy within the Commonwealth of Nations; capital Maseru area 11,720 square miles (30,355 square kilometers), population 1,962,000"
Avignon,1.0,"city in southeastern France population 92,078"
carrots,1.0,"a biennial herb (Daucus carota of the family Umbelliferae, the carrot family) with a usually orange spindle-shaped edible root"
gods,8.0,the supreme or ultimate realitysuch as
Wells,2.0,Herbert George 1866–1946 English novelist and historian
fraternal,3.0,"of, relating to, or involving brothers"
ordination,2.0,the act or an instance of ordaining the state of being ordained
emergencies,5.0,an unforeseen combination of circumstances or the resulting state that calls for immediate action
12a,2.0,midnight one hour after 11 p.m.
finite,6.0,having definite or definable limits
sociopolitical,4.0,"of, relating to, or involving a combination of social and political factors"
roofs,2.0,the cover of a building
villages,2.0,a settlement usually larger than a hamlet and smaller than a town
Newton,2.0,the unit of force in the meter-kilogram-second system equal to the force required to impart an acceleration of one meter per second per second to a mass of one kilogram
adjudication,4.0,the act or process of adjudicating a dispute
mandamus,3.0,a writ issued by a superior court commanding the performance of a specified official act or duty
litigating,2.0,to carry on a legal contest by judicial (see judicial sense 1a) process
forum,7.0,the marketplace or public place of an ancient Roman city forming the center of judicial and public business
defers,2.0,"put off, delay"
divorcing,2.0,the action or an instance of legally dissolving (see dissolve entry 1 sense 1d) a marriage
attended,6.0,to be present at to go to
stalking,2.0,a slender upright object or supporting or connecting part
prohibiting,2.0,to forbid by authority enjoin
parte,4.0,on or from one side or party only
irreparable,2.0,not reparable irremediable irreparable damage
declines,4.0,to become less in amount
endorsee,2.0,to write on the back of
prelate,1.0,an ecclesiastic (such as a bishop or abbot) of superior rank
comers,1.0,one that comes or arrives
tavern,1.0,an establishment where alcoholic beverages are sold to be drunk on the premises
kidney,2.0,"one of a pair of vertebrate organs situated in the body cavity near the spinal column that excrete waste products of metabolism, in humans are bean-shaped organs about 4¹/₂ inches (11¹/₂ centimeters) long lying behind the peritoneum in a mass of fatty tissue, and consist chiefly of nephrons by which urine is secreted, collected, and discharged into a main cavity from which it is conveyed by the ureter to the bladder"
cooperating,2.0,to act or work with another or others act together or in compliance
sounded,7.0,a particular auditory impression tone
timbres,1.0,the quality given to a sound by its overtonessuch as
approximates,1.0,nearly correct or exact close in value or amount but not precise
reed,4.0,any of various tall grasses with slender often prominently jointed stems that grow especially in wet areas
cruder,1.0,"marked by the primitive, gross, or elemental or by uncultivated simplicity or vulgarity"
liver,3.0,a large very vascular glandular organ of vertebrates that secretes bile and causes important changes in many of the substances contained in the blood (as by converting sugars into glycogen which it stores up until required and by forming urea)
lengths,1.0,the longer or longest dimension of an object
keyboards,1.0,a bank of keys on a musical instrument (such as a piano) that usually consists of seven white and five raised black keys to the octave
fertilizer,5.0,one that fertilizes
fertilizers,2.0,one that fertilizes
stimulants,2.0,an agent (such as a drug) that produces a temporary increase of the functional activity or efficiency of an organism or any of its parts
antibiotics,2.0,a substance able to inhibit or kill microorganisms
pesticides,4.0,an agent used to destroy pests
coordination,4.0,the process of organizing people or groups so that they work together properly and well
clot,6.0,a portion of a substance adhering together in a thick nondescript mass (as of clay or gum)
exudate,1.0,exuded matter
phagocytosis,1.0,the engulfing and usually the destruction of particulate matter by phagocytes that serves as an important bodily defense mechanism against infection by microorganisms and against occlusion of mucous surfaces or tissues by foreign particles and tissue debris
integrate,1.0,"to form, coordinate, or blend into a functioning or unified whole unite"
unionize,1.0,to organize into a labor union
parentage,1.0,descent from parents or ancestors lineage a person of noble parentage
originator,2.0,to take or have origin begin That board game originated in the 1940s.
translated,3.0,to turn into one's own or another language
creativity,2.0,the ability to create her artistic creativity
disturbingly,2.0,to interfere with interrupt disturbing the flow of traffic
alien,7.0,"belonging or relating to another person, place, or thing strange an alien environment"
exotic,4.0,introduced from another country not native to the place where found
